set_num,name,year,theme_id,num_parts,img_url
40527,Easter Chicks,2022,229,318,https://cdn.rebrickable.com/media/sets/40527-1.jpg
40528,LEGO Store,2022,408,402,https://cdn.rebrickable.com/media/sets/40528-1.jpg
40529,Children's Amusement Park,2022,598,170,https://cdn.rebrickable.com/media/sets/40529-1.jpg
40530,Jane Goodall Tribute,2022,598,276,https://cdn.rebrickable.com/media/sets/40530-1.jpg
40531,Lars Family Homestead Kitchen,2022,158,195,https://cdn.rebrickable.com/media/sets/40531-1.jpg
40532,Vintage Taxi,2022,598,163,https://cdn.rebrickable.com/media/sets/40532-1.jpg
40533,Cosmic Cardboard Adventures,2022,576,203,https://cdn.rebrickable.com/media/sets/40533-1.jpg
40534,LEGO House Mini Chef,2022,599,8,https://cdn.rebrickable.com/media/sets/40534-1.jpg
40535,Iron Man,2022,694,200,https://cdn.rebrickable.com/media/sets/40535-1.jpg
40536,Miles Morales,2022,694,214,https://cdn.rebrickable.com/media/sets/40536-1.jpg
40539,Ahsoka Tano,2022,610,164,https://cdn.rebrickable.com/media/sets/40539-1.jpg
40540,Lion Dance Guy,2022,610,239,https://cdn.rebrickable.com/media/sets/40540-1.jpg
40541,Manchester United Go Brick Me,2022,610,530,https://cdn.rebrickable.com/media/sets/40541-1.jpg
40542,FC Barcelona Go Brick Me,2022,610,530,https://cdn.rebrickable.com/media/sets/40542-1.jpg
40543,St. Bernard,2022,610,236,https://cdn.rebrickable.com/media/sets/40543-1.jpg
40544,French Bulldog,2022,610,237,https://cdn.rebrickable.com/media/sets/40544-1.jpg
40545,Koi Fish,2022,610,203,https://cdn.rebrickable.com/media/sets/40545-1.jpg
40546,Poodle,2022,610,304,https://cdn.rebrickable.com/media/sets/40546-1.jpg
40547,Obi-Wan Kenobi & Darth Vader,2022,610,260,https://cdn.rebrickable.com/media/sets/40547-1.jpg
40548,Spice Girls Tribute,2022,610,578,https://cdn.rebrickable.com/media/sets/40548-1.jpg
40549,Demogorgon & Eleven,2022,610,192,https://cdn.rebrickable.com/media/sets/40549-1.jpg
40550,Chip & Dale,2022,610,226,https://cdn.rebrickable.com/media/sets/40550-1.jpg
40552,Buzz Lightyear,2022,610,114,https://cdn.rebrickable.com/media/sets/40552-1.jpg
40553,Woody and Bo Peep,2022,610,296,https://cdn.rebrickable.com/media/sets/40553-1.jpg
